ricoId,label
rico:scopeAndContent,portée et contenu
rico:sentimentOrEmotionExpressed,sentiment ou émotion exprimés
rico:someMembersWithAccumulationDate,des membres ayant pour date d’accumulation
rico:someMembersWithCreationDate,des membres ayant pour date de création
rico:structure,structure
rico:technicalCharacteristics,caractéristiques techniques
rico:textualValue,valeur textuelle
rico:title,intitulé
rico:type,type
rico:unitOfMeasurement,unité de mesure
rico:usedFromDate,utilisé à partir de
rico:usedToDate,utilisé jusqu’à
rico:width,largeur
rico:accumulationRelation_role,a le rôle de la Relation d’accumulation
rico:activityDocumentationRelation_role,a le rôle de la Relation entre activités et ressources archivistiques
rico:activityIsContextOfRelation,activité est le contexte de la relation
rico:affectsOrAffected,affecte ou a affecté
rico:agentControlRelation_role,a le rôle de la Relation de contrôle entre agents
rico:agentHasOrHadLocation,agent a ou a eu pour localisation
rico:agentHierarchicalRelation_role,a le rôle de la Relation hiérarchique entre agents
rico:agentTemporalRelation_role,a le rôle de la Relation temporelle entre agents
rico:agentToAgentRelation_role,a le rôle de la Relation entre agents
rico:appellationRelation_role,a le rôle de la Relation d’appellation
rico:asConcernsActivity,en ce qui concerne l’activité
rico:authorityRelation_role,a le rôle de la Relation d’autorité
rico:authorizedBy,autorisé par
rico:authorizes,autorise
rico:authorizingAgent,autorisation donnée par l’agent
rico:authorshipRelation_role,a le rôle de la Relation de responsabilité intellectuelle
rico:childRelation_role,a le rôle de la Relation de filiation
rico:contained,a contenu
rico:containsOrContained,contient ou a contenu
rico:containsTransitive,contient transitif
rico:correspondenceRelation_role,a le rôle de la Relation épistolaire
rico:creationRelation_role,a le rôle de la Relation de création
rico:creationWithRole,création avec pour rôle
rico:derivationRelation_role,a le rôle de la Relation de dérivation
rico:descendanceRelation_role,a le rôle de la Relation de descendance
rico:describesOrDescribed,décrit ou a décrit
rico:directlyContains,contient directement
rico:directlyFollowsInSequence,suit directement dans la séquence
rico:directlyFollowsProxyInSequence,suit directement le proxy dans la séquence
rico:directlyIncludes,inclut directement
rico:directlyIncludesProxy,inclut directement le proxy
rico:directlyPrecedesInSequence,précède directement dans la séquence
rico:directlyPrecedesProxyInSequence,précède directement le proxy dans la séquence
rico:documentedBy,est documenté par
rico:documents,documente
rico:eventRelation_role,a le rôle de la Relation impliquant un événement
rico:evidences,atteste de
rico:existsOrExistedIn,existe ou a existé dans
rico:expressesOrExpressed,exprime ou a exprimé
rico:familyRelation_role,a le rôle de la Relation familiale
rico:followedInSequence,a suivi dans la séquence
rico:followsInSequenceTransitive,suit dans la séquence transitif
rico:followsInTime,suit dans le temps
rico:followsOrFollowed,suit ou a suivi
rico:followsProxyInSequence,suit le proxy dans la séquence
rico:functionalEquivalenceRelation_role,a le rôle de la Relation d’équivalence fonctionnelle
rico:groupSubdivisionRelation_role,a le rôle de la Relation de subdivision entre groupes d’agents
rico:hadComponent,a eu pour composant
rico:hadConstituent,a eu pour constituant
rico:hadPart,a eu pour partie
rico:hadSubdivision,a eu pour subdivision
rico:hadSubevent,a été constitué de l’événement
rico:hadSubordinate,a eu pour subalterne
rico:hasAccumulationDate,a pour date d'accumulation
rico:hasAccumulator,est accumulé par
rico:hasActivityType,a pour type d’activité
rico:hasAddressee,a pour destinataire
rico:hasAncestor,a pour ancêtre
rico:hasAuthor,a pour responsable intellectuel
rico:hasBeginningDate,a pour date de début
rico:hasBirthDate,a pour date de naissance
rico:hasBirthPlace,a pour lieu de naissance
rico:hasCarrierType,a pour type de support
rico:hasChild,a pour enfant
rico:hasCollector,est collecté par
rico:hasComponentTransitive,a pour composant transitif
rico:hasConstituentProxy,a pour constituant le proxy
rico:hasConstituentTransitive,a pour constituant transitif
rico:hasContentOfType,a pour type de contenu
rico:hasContentWhichMainlyRepresents,a un contenu qui représente principalement
rico:hasContentWhichRepresents,a un contenu qui représente
rico:hasCopy,a pour copie
rico:hasCreationDate,a pour date de création
rico:hasCreator,a pour créateur
rico:hasDateType,a pour type de date
rico:hasDeathDate,a pour date de décès
rico:hasDeathPlace,a pour lieu de décès
rico:hasDerivationDate,a pour date de dérivation
rico:hasDescendant,a pour descendant
rico:hasDestructionDate,a pour date de destruction
rico:hasDirectComponent,a directement pour composant
rico:hasDirectConstituent,a directement pour constituant
rico:hasDirectConstituentProxy,a pour constituant direct le proxy
rico:hasDirectPart,a directement pour partie
rico:hasDirectSubdivision,a directement pour subdivision
rico:hasDirectSubevent,est directement constitué de l’événement
rico:hasDirectSubordinate,a directement pour subalterne
rico:hasDocumentaryFormType,a pour type d’objet informationnel
rico:hasDraft,a pour ébauche
rico:hasEndDate,a pour date de fin
rico:hasEventType,a pour type d’événement
rico:hasExtent,a pour mesure
rico:hasExtentType,a pour type de mesure
rico:hasFamilyAssociationWith,a une relation familiale avec
rico:hasFamilyType,a pour type de famille
rico:hasGeneticLinkToRecordResource,a une relation génétique avec la ressource archivistique
rico:hasIdentifierType,a pour type d’identifiant
rico:hasMigrationDate,a pour date de migration
rico:hasModificationDate,a pour date de modification
rico:hasOrHadAgentName,a ou a eu pour nom d’agent
rico:hasOrHadAllMembersWithAccumulationDate,inclut ou a inclus des membres ayant tous pour date d'accumulation
rico:hasOrHadAllMembersWithContentType,inclut ou a inclus des membres ayant tous pour type de contenu
rico:hasOrHadAllMembersWithCreationDate,inclut ou a inclus des membres ayant tous pour date de création
rico:hasOrHadAllMembersWithDocumentaryFormType,inclut ou a inclus des membres ayant tous pour type
rico:hasOrHadAllMembersWithLanguage,inclut ou a inclus des membres ayant tous pour langue
rico:hasOrHadAllMembersWithLegalStatus,inclut ou a inclus des membres ayant tous pour statut légal
rico:hasOrHadAllMembersWithMainSubject,inclut ou a inclus des membres ayant tous pour principal sujet
rico:hasOrHadAllMembersWithRecordState,inclut ou a inclus des membres ayant tous pour état
rico:hasOrHadAllMembersWithSubject,inclut ou a inclus des membres ayant tous pour sujet
rico:hasOrHadAllMembersWithType,inclut ou a inclus des membres ayant tous pour type
rico:hasOrHadAnalogueInstantiation,a ou a eu pour instanciation analogique
rico:hasOrHadAppellation,a ou a eu pour appellation
rico:hasOrHadAuthorityOver,a ou a eu autorité sur
rico:hasOrHadComponent,a ou a eu pour composant
rico:hasOrHadConstituent,a ou a eu pour constituant
rico:hasOrHadController,est ou a été contrôlé par
rico:hasOrHadCoordinates,a ou a eu pour coordonnées
rico:hasOrHadCorporateBodyType,a ou a eu pour type de collectivité
rico:hasOrHadCorrespondent,a ou a eu pour correspondant
rico:hasOrHadDemographicGroup,a ou a eu pour groupe démographique
rico:hasOrHadDerivedInstantiation,a ou a eu pour instanciation dérivée
rico:hasOrHadDigitalInstantiation,a ou a eu pour instanciation numérique
rico:hasOrHadEmployer,a ou a eu pour employeur
rico:hasOrHadHolder,est ou a été détenu par
rico:hasOrHadIdentifier,a ou a eu pour identifiant
rico:hasOrHadInstantiation,a ou a eu pour instanciation
rico:hasOrHadIntellectualPropertyRightsHolder,a ou a eu comme détenteur des droits de propriété intellectuelle
rico:hasOrHadJurisdiction,a ou a eu pour ressort
rico:hasOrHadLanguage,a ou a eu pour langue
rico:hasOrHadLeader,a ou a eu pour dirigeant
rico:hasOrHadLegalStatus,a ou a eu pour statut légal
rico:hasOrHadLocation,a ou a eu pour localisation
rico:hasOrHadMainSubject,a ou a eu pour sujet principal
rico:hasOrHadManager,a ou a eu pour gestionnaire
rico:hasOrHadMandateType,a ou a eu pour type de mandat
rico:hasOrHadMember,a ou a eu pour membre
rico:hasOrHadMostMembersWithAccumulationDate,inclut ou a inclus des membres dont la plupart ont pour date d'accumulation
