ricoId,Label
rico:relationSource,Source de la relation
rico:relationState,Statut de la relation
rico:ruleFollowed,Règle suivie
rico:scopeAndContent,Portée et contenu
rico:sentimentOrEmotionExpressed,Sentiment ou émotion exprimés
rico:someMembersWithAccumulationDate,Des membres ayant pour date d’accumulation
rico:someMembersWithCreationDate,Des membres ayant pour date de création
rico:structure,Structure
rico:technicalCharacteristics,Caractéristiques techniques
rico:textualValue,Valeur textuelle
rico:title,Intitulé
rico:type,Type
rico:unitOfMeasurement,Unité de mesure
rico:usedFromDate,Utilisé à partir de
rico:usedToDate,Utilisé jusqu’à
rico:width,Largeur
rico:accumulationRelation_role,A le rôle de la Relation d’accumulation
rico:activityDocumentationRelation_role,A le rôle de la Relation entre activités et ressources archivistiques
rico:activityIsContextOfRelation,Activité est le contexte de la relation
rico:affectsOrAffected,Affecte ou a affecté
rico:agentControlRelation_role,A le rôle de la Relation de contrôle entre agents
rico:agentHasOrHadLocation,Agent a ou a eu pour localisation
rico:agentHierarchicalRelation_role,A le rôle de la Relation hiérarchique entre agents
rico:agentTemporalRelation_role,A le rôle de la Relation temporelle entre agents
rico:agentToAgentRelation_role,A le rôle de la Relation entre agents
rico:appellationRelation_role,A le rôle de la Relation d’appellation
rico:asConcernsActivity,En ce qui concerne l’activité
rico:authorityRelation_role,A le rôle de la Relation d’autorité
rico:authorizedBy,Autorisé par
rico:authorizes,Autorise
rico:authorizingAgent,Autorisation donnée par l’agent
rico:authorshipRelation_role,A le rôle de la Relation de responsabilité intellectuelle
rico:childRelation_role,A le rôle de la Relation de filiation
rico:contained,Incluait
rico:containsOrContained,Inclut ou incluait
rico:containsTransitive,Inclut (transitif)
rico:correspondenceRelation_role,A le rôle de la Relation épistolaire
rico:creationRelation_role,A le rôle de la Relation de création
rico:creationWithRole,Création avec pour rôle
rico:derivationRelation_role,A le rôle de la Relation de dérivation
rico:descendanceRelation_role,A le rôle de la Relation de descendance
rico:describesOrDescribed,Décrit ou décrivait
rico:directlyContains,Inclut directement
rico:directlyFollowsInSequence,Suit directement dans la séquence
rico:directlyFollowsProxyInSequence,Suit directement le proxy dans la séquence
rico:directlyIncludes,Inclut directement
rico:directlyIncludesProxy,Inclut directement le proxy
rico:directlyPrecedesInSequence,Précède directement dans la séquence
rico:directlyPrecedesProxyInSequence,Précède directement le proxy dans la séquence
rico:documentedBy,Est documenté par
rico:documents,Documente
rico:eventRelation_role,A le rôle de la Relation impliquant un événement
rico:evidences,Atteste de
rico:existsOrExistedIn,Existe ou a existé dans
rico:expressesOrExpressed,Exprime ou a exprimé
rico:familyRelation_role,A le rôle de la Relation familiale
rico:followedInSequence,A suivi dans la séquence
